Match,Feature,FeatureCategory,Team,Value,ConfidencePct,PredictedOutcome
Liverpool vs Manchester Utd,Away_xGA_L5,Attack,Away,2.1,65.6,Home Win
Liverpool vs Manchester Utd,Away_GA_L5,Attack,Away,2.3333333333333335,65.6,Home Win
Liverpool vs Manchester Utd,Away_ShotsOnTargetA_L5,Other,Away,5.666666666666667,65.6,Home Win
West Ham vs Brentford,xG_L5,Attack,Away,0.6333333333333333,45.2,Away Win
West Ham vs Brentford,G_L5,Attack,Away,0.6666666666666666,45.2,Away Win
West Ham vs Brentford,ShotsOnTarget_L5,Other,Away,3.6666666666666665,45.2,Away Win
West Ham vs Brentford,xGA_L5,Attack,Away,2.0333333333333337,45.2,Away Win
West Ham vs Brentford,GA_L5,Attack,Away,3.3333333333333335,45.2,Away Win
West Ham vs Brentford,ShotsOnTargetA_L5,Other,Away,42.666666666666664,45.2,Away Win
West Ham vs Brentford,HomeOverall_xG_L5,Attack,Home,1.04,45.2,Away Win
West Ham vs Brentford,HomeOverall_G_L5,Attack,Home,1.0,45.2,Away Win
West Ham vs Brentford,HomeOverall_ShotsOnTarget_L5,Other,Home,20.8,45.2,Away Win
West Ham vs Brentford,HomeOverall_xGA_L5,Attack,Home,1.52,45.2,Away Win
West Ham vs Brentford,HomeOverall_GA_L5,Attack,Home,1.6,45.2,Away Win
West Ham vs Brentford,HomeOverall_ShotsOnTargetA_L5,Other,Home,21.6,45.2,Away Win
West Ham vs Brentford,AwayOverall_xG_L5,Attack,Away,1.16,45.2,Away Win
West Ham vs Brentford,AwayOverall_G_L5,Attack,Away,1.4,45.2,Away Win
West Ham vs Brentford,AwayOverall_ShotsOnTarget_L5,Other,Away,10.4,45.2,Away Win
West Ham vs Brentford,AwayOverall_xGA_L5,Attack,Away,1.34,45.2,Away Win
West Ham vs Brentford,AwayOverall_GA_L5,Attack,Away,1.8,45.2,Away Win
West Ham vs Brentford,AwayOverall_ShotsOnTargetA_L5,Other,Away,31.8,45.2,Away Win
West Ham vs Brentford,Away_xG_L5,Attack,Away,1.0666666666666669,45.2,Away Win
West Ham vs Brentford,Away_G_L5,Attack,Away,1.0,45.2,Away Win
West Ham vs Brentford,Away_ShotsOnTarget_L5,Other,Away,28.0,45.2,Away Win
West Ham vs Brentford,Away_xGA_L5,Attack,Away,1.4333333333333331,45.2,Away Win
West Ham vs Brentford,Away_GA_L5,Attack,Away,2.6666666666666665,45.2,Away Win
West Ham vs Brentford,Away_ShotsOnTargetA_L5,Other,Away,3.3333333333333335,45.2,Away Win
